-595.314.456.770.028.562.172.455.281.391.304.704,000000000000000000000000000000
-595.314.341.895.024.434.042.304.164.918.198.272,000000000000000000000000000000
-595.314.227.061.364.403.108.747.907.776.380.928,000000000000000000000000000000
-595.314.112.269.043.820.792.279.935.158.845.440,000000000000000000000000000000
-595.313.997.518.058.850.170.132.915.478.855.680,000000000000000000000000000000
-595.313.882.808.404.990.236.752.863.605.817.344,000000000000000000000000000000
-595.313.768.140.077.961.347.514.678.923.755.520,000000000000000000000000000000
-595.313.653.513.073.557.644.769.555.654.901.760,000000000000000000000000000000
-595.313.538.927.387.868.418.773.867.374.313.472,000000000000000000000000000000
-595.313.424.383.016.245.090.021.039.274.983.424,000000000000000000000000000000
-595.313.309.879.954.924.522.720.034.608.381.952,000000000000000000000000000000
-595.313.195.418.199.331.924.340.573.405.708.288,000000000000000000000000000000
-595.313.080.997.745.851.733.044.208.594.845.696,000000000000000000000000000000
-595.312.966.618.589.982.943.276.955.045.199.872,000000000000000000000000000000
-595.312.852.280.727.741.058.318.891.493.621.760,000000000000000000000000000000
-595.312.737.984.154.920.220.521.212.162.342.912,000000000000000000000000000000
-595.312.623.728.867.757.294.092.880.302.833.664,000000000000000000000000000000
-595.312.509.514.861.825.060.456.205.622.706.176,000000000000000000000000000000
-595.312.395.342.133.212.809.867.561.697.017.856,000000000000000000000000000000
-595.312.281.210.677.936.045.607.027.262.619.648,000000000000000000000000000000
-595.312.167.120.492.231.631.883.565.570.981.888,000000000000000000000000000000
-595.312.053.071.571.746.137.095.781.167.923.200,000000000000000000000000000000
-595.311.939.063.912.716.425.452.637.304.913.920,000000000000000000000000000000
-595.311.825.097.511.084.213.257.917.880.598.528,000000000000000000000000000000
-595.311.711.172.362.938.790.767.996.470.034.432,000000000000000000000000000000
-595.311.597.288.464.369.448.239.246.648.279.040,000000000000000000000000000000
-595.311.483.445.811.539.262.904.336.828.596.224,000000000000000000000000000000
-595.311.369.644.400.463.738.043.345.747.836.928,000000000000000000000000000000
-595.311.255.884.227.379.737.865.236.657.471.488,000000000000000000000000000000
-595.311.142.165.288.081.404.721.203.779.731.456,000000000000000000000000000000
-595.311.028.487.579.469.685.606.863.909.945.344,000000000000000000000000000000
-595.310.914.851.097.043.574.968.231.917.518.848,000000000000000000000000000000
-595.310.801.255.836.966.150.037.976.215.715.840,000000000000000000000000000000
-595.310.687.701.795.916.996.882.829.085.245.440,000000000000000000000000000000
-595.310.574.188.969.837.831.806.574.424.752.128,000000000000000000000000000000
-595.310.460.717.355.186.879.947.060.000.325.632,000000000000000000000000000000
-595.310.347.286.947.979.644.584.364.548.816.896,000000000000000000000000000000
-595.310.233.897.744.452.989.927.451.321.696.256,000000000000000000000000000000
-595.310.120.549.741.286.502.043.052.599.672.832,000000000000000000000000000000
-595.310.007.242.934.348.110.258.657.443.184.640,000000000000000000000000000000
-595.309.893.977.320.243.613.664.703.294.734.336,000000000000000000000000000000
-595.309.780.752.895.357.450.422.743.082.205.184,000000000000000000000000000000
-595.309.667.569.655.705.123.812.855.542.448.128,000000000000000000000000000000
-595.309.554.427.598.408.941.759.541.985.411.072,000000000000000000000000000000
-595.309.441.326.718.820.324.756.227.604.086.784,000000000000000000000000000000
-595.309.328.267.014.209.154.680.003.384.836.096,000000000000000000000000000000
-595.309.215.248.480.369.573.882.063.549.890.560,000000000000000000000000000000
-595.309.102.271.114.350.103.310.614.570.991.616,000000000000000000000000000000
-595.308.989.334.912.313.820.198.324.861.403.136,000000000000000000000000000000
-595.308.876.439.870.571.375.730.452.510.801.920,000000000000000000000000000000
-595.308.763.585.985.802.355.973.729.799.897.088,000000000000000000000000000000
-595.308.650.773.254.464.986.066.004.494.778.368,000000000000000000000000000000
-595.308.538.001.673.386.426.026.598.552.567.808,000000000000000000000000000000
-595.308.425.271.238.582.179.135.590.710.116.352,000000000000000000000000000000
-595.308.312.581.947.100.766.341.187.439.165.440,000000000000000000000000000000
-595.308.199.933.795.031.477.899.762.314.772.480,000000000000000000000000000000
-595.308.087.326.779.644.195.688.406.323.298.304,000000000000000000000000000000
-595.307.974.760.897.028.209.963.493.039.800.320,000000000000000000000000000000
-595.307.862.236.143.567.958.886.575.392.161.792,000000000000000000000000000000
-595.307.749.752.516.533.324.334.744.366.743.552,000000000000000000000000000000
-595.307.637.310.012.308.744.469.552.891.428.864,000000000000000000000000000000
-595.307.524.908.627.352.444.428.848.732.307.456,000000000000000000000000000000
-595.307.412.548.359.008.093.066.017.713.946.624,000000000000000000000000000000
-595.307.300.229.203.291.193.661.138.573.197.312,000000000000000000000000000000
-595.307.187.951.157.250.267.162.417.781.800.960,000000000000000000000000000000
-595.307.075.714.217.564.899.636.587.620.466.688,000000000000000000000000000000
-595.306.963.518.381.283.612.031.854.560.935.936,000000000000000000000000000000
-595.306.851.363.644.643.268.557.181.854.679.040,000000000000000000000000000000
-595.306.739.250.004.766.177.137.070.811.643.904,000000000000000000000000000000
-595.306.627.177.458.479.497.790.843.388.952.576,000000000000000000000000000000
-595.306.515.146.002.462.816.585.231.867.314.176,000000000000000000000000000000
-595.306.403.155.633.469.506.563.263.365.644.288,000000000000000000000000000000
-595.306.291.206.348.769.449.602.028.870.303.744,000000000000000000000000000000
-595.306.179.298.144.820.870.839.376.147.382.272,000000000000000000000000000000
-595.306.067.431.018.746.078.199.806.506.827.776,000000000000000000000000000000
-595.305.955.604.967.519.805.655.231.582.175.232,000000000000000000000000000000
-595.305.843.819.987.969.213.224.973.330.546.688,000000000000000000000000000000
-595.305.732.076.076.626.313.023.174.356.238.336,000000000000000000000000000000
